"GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","Yards","Formation","PlayType","IsIncomplete","IsTouchdown","IsSack","IsInterception","IsFumble","IsTwoPointConversion","IsTwoPointConversionSuccessful","YardLineFixed","YardLineDirection","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards","Referee"
2015-09-20,"4","1","57","CHI","ARI","1","10","73","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","27","OPP","CHI","1","FALSE START","5","Jerome Boger"
2015-09-20,"2","1","29","CHI","ARI","3","8","40","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","40","OWN","CHI","1","FALSE START","5","Jerome Boger"
2015-09-20,"1","12","27","CHI","ARI","2","19","32","0","SHOTGUN","PASS","1","0","0","0","0","0","0","32","OWN","ARI","1","DEFENSIVE PASS INTERFERENCE",NA,"Jerome Boger"
2015-09-20,"2","0","39","CHI","ARI","3","2","96","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","4","OPP","ARI","1","NEUTRAL ZONE INFRACTION","1","Jerome Boger"
2015-09-20,"4","13","34","ARI","CHI","2","3","31","7","UNDER CENTER","RUSH","0","0","0","0","0","0","0","31","OWN","ARI","1","OFFENSIVE OFFSIDE","5","Jerome Boger"
2015-09-20,"2","8","46","ARI","CHI","1","10","33","12","UNDER CENTER","PASS","0","0","0","0","0","0","0","33","OWN","ARI","1","OFFENSIVE PASS INTERFERENCE","10","Jerome Boger"
2015-09-20,"3","7","51","ARI","CHI","1","10","61","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","39","OPP","CHI","1","DEFENSIVE 12 ON-FIELD","5","Jerome Boger"
2015-09-20,"1","0","4","CHI","ARI","2","4","36","0","NO HUDDLE SHOTGUN","NO PLAY","0","0","0","0","0","0","0","36","OWN","ARI","1","NEUTRAL ZONE INFRACTION","5","Jerome Boger"
2015-09-20,"3","0","39","CHI","ARI","1","10","56","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","44","OPP","CHI","1","FALSE START","5","Jerome Boger"
2015-09-20,"2","2","59","ARI","CHI","0","0","35","0","UNDER CENTER","KICK OFF","0","0","0","0","0","0","0","35","OWN","CHI","0","OFFENSIVE HOLDING","10","Jerome Boger"
2015-09-20,"1","12","58","CHI","ARI","2","9","42","2","NO HUDDLE SHOTGUN","PASS","0","0","0","0","0","0","0","42","OWN","CHI","1","OFFENSIVE PASS INTERFERENCE","10","Jerome Boger"
2015-09-20,"3","0","53","ARI","CHI","4","3","27","0","UNDER CENTER","PUNT","0","0","0","0","0","0","0","27","OWN","ARI","1","FALSE START","5","Jerome Boger"
2015-09-20,"2","2","9","CHI","ARI","3","2","19","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","19","OWN","ARI","1","ENCROACHMENT","5","Jerome Boger"
2018-09-23,"3","4","52","ARI","CHI","2","7","39","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","39","OWN","ARI","1","FALSE START","5","Bill Vinovich"
2018-09-23,"1","1","40","ARI","CHI","0","0","85","0","UNDER CENTER","KICK OFF","0","0","0","0","0","0","0","15","OPP","CHI","0","NEUTRAL ZONE INFRACTION","5","Bill Vinovich"
2018-09-23,"3","1","34","CHI","ARI","3","7","78","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","22","OPP","CHI","1","FALSE START","5","Bill Vinovich"
2018-09-23,"2","3","10","CHI","ARI","2","6","93","0","SHOTGUN","PASS","1","0","0","0","0","0","0","7","OPP","ARI","1","ROUGHING THE PASSER","3","Bill Vinovich"
2018-09-23,"3","3","3","CHI","ARI","3","9","57","0","SHOTGUN","PASS","1","0","0","0","0","0","0","43","OPP","ARI","1","DEFENSIVE OFFSIDE","5","Bill Vinovich"
2018-09-23,"2","6","17","CHI","ARI","2","5","57","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","43","OPP","CHI","1","FALSE START","5","Bill Vinovich"
2018-09-23,"4","8","45","CHI","ARI","2","12","41","0","SHOTGUN","PASS","1","0","0","0","0","0","0","41","OWN","ARI","0","UNNECESSARY ROUGHNESS","15","Bill Vinovich"
2018-09-23,"4","0","22","ARI","CHI","2","1","29","35","NO HUDDLE SHOTGUN","PASS","0","1","0","1","0","0","0","29","OWN","CHI","1","DEFENSIVE OFFSIDE","5","Bill Vinovich"
