YardLine,PenaltyTeam,PenaltyType,Referee,TeamType
69,LAC,DEFENSIVE HOLDING,Bill Vinovich,Defense
42,LAC,DEFENSIVE HOLDING,Bill Vinovich,Defense
42,LAC,FALSE START,Bill Vinovich,Offense
33,ARI,DEFENSIVE HOLDING,Bill Vinovich,Defense
48,LAC,ROUGHING THE PASSER,Bill Vinovich,Defense
15,LAC,DEFENSIVE PASS INTERFERENCE,Bill Vinovich,Defense
26,ARI,FALSE START,Bill Vinovich,Offense
20,ARI,DELAY OF GAME,Bill Vinovich,Offense
74,LAC,DEFENSIVE HOLDING,Bill Vinovich,Defense
74,ARI,ENCROACHMENT,Clete Blakeman,Defense
46,LAR,TAUNTING,Clete Blakeman,Defense
69,ARI,ILLEGAL SHIFT,Clete Blakeman,Offense
71,ARI,NEUTRAL ZONE INFRACTION,Clete Blakeman,Defense
39,ARI,DEFENSIVE OFFSIDE,Clete Blakeman,Defense
7,LAR,OFFENSIVE HOLDING,Clete Blakeman,Offense
29,LAR,UNNECESSARY ROUGHNESS,Clete Blakeman,Defense
41,LAR,FALSE START,Clete Blakeman,Offense
45,ARI,OFFENSIVE HOLDING,Clete Blakeman,Offense
33,ARI,ENCROACHMENT,Clete Blakeman,Defense
36,ARI,DEFENSIVE PASS INTERFERENCE,Clete Blakeman,Defense
25,LAR,ILLEGAL CONTACT,Clete Blakeman,Defense
45,LAR,OFFENSIVE HOLDING,Clete Blakeman,Offense
26,LAR,UNNECESSARY ROUGHNESS,Clete Blakeman,Defense
55,LAR,UNNECESSARY ROUGHNESS,Clete Blakeman,Defense
38,LAR,OFFENSIVE HOLDING,Walt Coleman,Defense
40,ARI,UNNECESSARY ROUGHNESS,Walt Coleman,Defense
72,LAR,PERSONAL FOUL,Walt Coleman,Defense
76,LAR,ILLEGAL USE OF HANDS,Walt Coleman,Defense
42,LAR,ILLEGAL FORMATION,Walt Coleman,Offense
12,LAR,DELAY OF GAME,Walt Coleman,Offense
52,ARI,DEFENSIVE PASS INTERFERENCE,Walt Coleman,Defense
26,LAR,FALSE START,Walt Coleman,Offense
20,LAR,FALSE START,Walt Coleman,Offense
25,ARI,DEFENSIVE PASS INTERFERENCE,Walt Coleman,Defense
39,ARI,DEFENSIVE HOLDING,Walt Coleman,Defense
47,ARI,FALSE START,Ronald Torbert,Offense
20,ARI,ILLEGAL CONTACT,Ronald Torbert,Defense
27,LAR,OFFENSIVE HOLDING,Ronald Torbert,Offense
31,LAR,ILLEGAL BLOCK ABOVE THE WAIST,Ronald Torbert,Defense
41,LAR,UNSPORTSMANLIKE CONDUCT,Ronald Torbert,Offense
20,ARI,UNNECESSARY ROUGHNESS,Ronald Torbert,Offense
17,ARI,DEFENSIVE HOLDING,Ronald Torbert,Defense
61,LAR,OFFENSIVE HOLDING,Ronald Torbert,Offense
43,LAR,FALSE START,Ronald Torbert,Offense
38,LAR,OFFENSIVE HOLDING,Ronald Torbert,Defense
65,LAR,ILLEGAL FORMATION,Ronald Torbert,Offense
13,ARI,ILLEGAL FORWARD PASS,Ronald Torbert,Offense
82,ARI,NEUTRAL ZONE INFRACTION,Ronald Torbert,Defense
35,LAR,DELAY OF GAME,Ronald Torbert,Offense
55,LAR,ILLEGAL BLINDSIDE BLOCK,Ronald Torbert,Offense
33,LAR,OFFENSIVE PASS INTERFERENCE,Walt Coleman,Offense
31,ARI,OFFENSIVE HOLDING,Walt Coleman,Offense
6,LAR,FALSE START,Walt Coleman,Offense
27,ARI,FALSE START,Walt Coleman,Offense
3,ARI,OFFENSIVE HOLDING,Walt Coleman,Defense
30,LAR,FALSE START,Walt Coleman,Offense
36,LAR,DEFENSIVE PASS INTERFERENCE,Walt Coleman,Defense
50,LAR,OFFENSIVE PASS INTERFERENCE,Walt Coleman,Offense
82,ARI,ENCROACHMENT,Walt Coleman,Defense
19,LAR,OFFENSIVE HOLDING,Walt Coleman,Offense
49,ARI,DELAY OF GAME,Walt Coleman,Offense
32,ARI,ILLEGAL USE OF HANDS,Walt Coleman,Offense
49,ARI,OFFENSIVE HOLDING,Walt Coleman,Defense
35,ARI,ILLEGAL BLOCK ABOVE THE WAIST,Walt Coleman,Offense
26,LAR,DEFENSIVE OFFSIDE,Walt Coleman,Defense
35,ARI,OFFENSIVE HOLDING,John Parry,Offense
35,LAR,OFFENSIVE HOLDING,John Parry,Defense
45,ARI,FALSE START,John Parry,Offense
