Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
October 9 2016,Pittsburgh Steelers,New York Jets,Referee,13,4,18,31,1,10
October 16 2016,Washington Redskins,Philadelphia Eagles,Referee,20,13,114,27,9,75
October 20 2016,Green Bay Packers,Chicago Bears,Referee,10,10,108,26,9,56
October 30 2016,Buffalo Bills,New England Patriots,Referee,41,10,116,25,12,84
November 14 2016,New York Giants,Cincinnati Bengals,Referee,20,9,60,21,2,15
November 20 2016,Dallas Cowboys,Baltimore Ravens,Referee,17,12,136,27,5,45
November 27 2016,Atlanta Falcons,Arizona Cardinals,Referee,19,8,60,38,4,23
December 4 2016,Seattle Seahawks,Carolina Panthers,Referee,7,6,63,40,6,37
December 11 2016,Tennessee Titans,Denver Broncos,Referee,10,9,87,13,5,55
December 18 2016,San Diego Chargers,Oakland Raiders,Referee,19,2,15,16,6,44
December 25 2016,Pittsburgh Steelers,Baltimore Ravens,Referee,27,7,95,31,4,45
January 1 2017,Miami Dolphins,New England Patriots,Referee,35,7,64,14,9,73
September 10 2017,Green Bay Packers,Seattle Seahawks,Referee,9,8,50,17,8,70
September 18 2017,New York Giants,Detroit Lions,Referee,24,6,50,10,7,50
September 24 2017,New England Patriots,Houston Texans,Referee,33,10,60,36,5,69
October 8 2017,Pittsburgh Steelers,Jacksonville Jaguars,Referee,30,4,19,9,5,37
October 15 2017,Washington Redskins,San Francisco 49ers,Referee,24,7,40,26,5,43
October 26 2017,Baltimore Ravens,Miami Dolphins,Referee,0,7,43,40,5,40
November 5 2017,Houston Texans,Indianapolis Colts,Referee,20,6,68,14,7,74
November 19 2017,Los Angeles Chargers,Buffalo Bills,Referee,24,6,48,54,1,13
November 26 2017,Los Angeles Rams,New Orleans Saints,Referee,20,7,112,26,9,90
December 3 2017,New York Jets,Kansas City Chiefs,Referee,31,8,30,38,5,40
December 10 2017,Cincinnati Bengals,Chicago Bears,Referee,33,10,74,7,7,56
December 17 2017,San Francisco 49ers,Tennessee Titans,Referee,23,3,22,25,7,70
December 24 2017,Arizona Cardinals,New York Giants,Referee,0,10,101,23,6,45
December 31 2017,Philadelphia Eagles,Dallas Cowboys,Referee,6,7,64,0,7,49
September 9 2018,New Orleans Saints,Tampa Bay Buccaneers,Referee,48,7,70,40,8,77
September 16 2018,Dallas Cowboys,New York Giants,Referee,13,3,24,20,6,47
September 23 2018,Carolina Panthers,Cincinnati Bengals,Referee,21,4,36,31,3,17
October 7 2018,Pittsburgh Steelers,Atlanta Falcons,Referee,17,7,75,41,7,58
October 15 2018,Green Bay Packers,San Francisco 49ers,Referee,30,2,10,33,6,54
October 21 2018,Baltimore Ravens,New Orleans Saints,Referee,24,6,52,23,5,54
October 28 2018,Oakland Raiders,Indianapolis Colts,Referee,42,10,77,28,10,79
